Sample	Resistance gene	Identity	Alignment Length/Gene Length	Coverage	Position in reference	Contig	Position in contig	Phenotype	Accession no.
123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	erm(B)	99.73	738/738	100.0	1..738	contig00003 len=463582 cov=27.7 corr=1 origname=NODE_3_length_463582_cov_27.728124_pilon sw=shovill-spades/1.0.4 date=20260119	111973..112710	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
123Cs-CMPN001x34_260114_LH00793_B23GCKKLT3	tet(M)	98.44	1920/1920	100.0	1..1920	contig00003 len=463582 cov=27.7 corr=1 origname=NODE_3_length_463582_cov_27.728124_pilon sw=shovill-spades/1.0.4 date=20260119	114186..116105	Doxycycline, Tetracycline, Minocycline	U58985
123Pp-CMPN001x47_260114_LH00793_B23GCKKLT3	tetA(46)	94.14	1725/1725	100.0	1..1725	contig00014 len=40754 cov=40.2 corr=0 origname=NODE_14_length_40754_cov_40.246858_pilon sw=shovill-spades/1.0.4 date=20260119	17816..19540	Doxycycline, Tetracycline, Tigecycline	HQ652506
123Pp-CMPN001x47_260114_LH00793_B23GCKKLT3	tetB(46)	91.11	1722/1737	99.02130109383995	1..1721	contig00014 len=40754 cov=40.2 corr=0 origname=NODE_14_length_40754_cov_40.246858_pilon sw=shovill-spades/1.0.4 date=20260119	19542..21262	Doxycycline, Tetracycline, Tigecycline	HQ652506
124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=277258 cov=34.1 corr=0 origname=NODE_1_length_277258_cov_34.118813_pilon sw=shovill-spades/1.0.4 date=20260119	67125..68588	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=277258 cov=34.1 corr=0 origname=NODE_1_length_277258_cov_34.118813_pilon sw=shovill-spades/1.0.4 date=20260119	65788..67005	Erythromycin, Azithromycin	U83667
124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	tetA(46)	94.90	1725/1725	100.0	1..1725	contig00007 len=73621 cov=35.8 corr=0 origname=NODE_7_length_73621_cov_35.841058_pilon sw=shovill-spades/1.0.4 date=20260119	54521..56245	Doxycycline, Tetracycline, Tigecycline	HQ652506
124Ap-CMPN001x61_260114_LH00793_B23GCKKLT3	tetB(46)	92.76	1712/1737	98.33045480713875	1..1710	contig00007 len=73621 cov=35.8 corr=0 origname=NODE_7_length_73621_cov_35.841058_pilon sw=shovill-spades/1.0.4 date=20260119	52810..54519	Doxycycline, Tetracycline, Tigecycline	HQ652506
127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00006 len=135306 cov=23.0 corr=0 origname=NODE_6_length_135306_cov_23.048123_pilon sw=shovill-spades/1.0.4 date=20260119	73104..73841	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00006 len=135306 cov=23.0 corr=0 origname=NODE_6_length_135306_cov_23.048123_pilon sw=shovill-spades/1.0.4 date=20260119	73104..73841	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
127Cs-CMPN001x35_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00006 len=135306 cov=23.0 corr=0 origname=NODE_6_length_135306_cov_23.048123_pilon sw=shovill-spades/1.0.4 date=20260119	74948..76867	Doxycycline, Tetracycline, Minocycline	X75073
129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=963567 cov=37.3 corr=0 origname=NODE_1_length_963567_cov_37.270358_pilon sw=shovill-spades/1.0.4 date=20260119	731896..732633	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
129Cs-CMPN001x36_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00001 len=963567 cov=37.3 corr=0 origname=NODE_1_length_963567_cov_37.270358_pilon sw=shovill-spades/1.0.4 date=20260119	733741..735660	Doxycycline, Tetracycline, Minocycline	FR671418
131As-CMPN001x62_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=311790 cov=32.6 corr=1 origname=NODE_3_length_311790_cov_32.576734_pilon sw=shovill-spades/1.0.4 date=20260119	92983..94446	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
131As-CMPN001x62_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=311790 cov=32.6 corr=1 origname=NODE_3_length_311790_cov_32.576734_pilon sw=shovill-spades/1.0.4 date=20260119	94566..95783	Erythromycin, Azithromycin	U83667
131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00003 len=173544 cov=38.2 corr=0 origname=NODE_3_length_173544_cov_38.233124_pilon sw=shovill-spades/1.0.4 date=20260119	132937..133674	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
131Ca-CMPN001x63_260114_LH00793_B23GCKKLT3	tet(M)	100.00	1920/1920	100.0	1..1920	contig00003 len=173544 cov=38.2 corr=0 origname=NODE_3_length_173544_cov_38.233124_pilon sw=shovill-spades/1.0.4 date=20260119	143592..145511	Doxycycline, Tetracycline, Minocycline	X04388
131Cm-CMPN001x37_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00016 len=27164 cov=24.5 corr=0 origname=NODE_16_length_27164_cov_24.462453_pilon sw=shovill-spades/1.0.4 date=20260119	18619..19356	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
131Cm-CMPN001x37_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	100.0	1..1920	contig00016 len=27164 cov=24.5 corr=0 origname=NODE_16_length_27164_cov_24.462453_pilon sw=shovill-spades/1.0.4 date=20260119	15593..17512	Doxycycline, Tetracycline, Minocycline	FR671418
132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	lsa(C)	94.52	1479/1479	100.0	1..1479	contig00006 len=168570 cov=25.2 corr=0 origname=NODE_6_length_168570_cov_25.213199_pilon sw=shovill-spades/1.0.4 date=20260119	88519..89997	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00006 len=168570 cov=25.2 corr=0 origname=NODE_6_length_168570_cov_25.213199_pilon sw=shovill-spades/1.0.4 date=20260119	106283..107020	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
132Cs-CMPN001x38_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00006 len=168570 cov=25.2 corr=0 origname=NODE_6_length_168570_cov_25.213199_pilon sw=shovill-spades/1.0.4 date=20260119	103257..105176	Doxycycline, Tetracycline, Minocycline	X75073
140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00003 len=206618 cov=31.6 corr=0 origname=NODE_3_length_206618_cov_31.632465_pilon sw=shovill-spades/1.0.4 date=20260119	85269..86006	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(32)	100.00	1920/1920	100.0	1..1920	contig00001 len=453815 cov=32.7 corr=0 origname=NODE_1_length_453815_cov_32.741929_pilon sw=shovill-spades/1.0.4 date=20260119	186209..188128	Doxycycline, Tetracycline, Minocycline	EU722333
140Ca-CMPN001x64_260114_LH00793_B23GCKKLT3	tet(M)	99.58	1920/1920	100.0	1..1920	contig00003 len=206618 cov=31.6 corr=0 origname=NODE_3_length_206618_cov_31.632465_pilon sw=shovill-spades/1.0.4 date=20260119	87115..89034	Doxycycline, Tetracycline, Minocycline	X75073
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00001 len=682832 cov=30.7 corr=0 origname=NODE_1_length_682832_cov_30.727623_pilon sw=shovill-spades/1.0.4 date=20260119	354674..355411	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00003 len=187370 cov=27.9 corr=0 origname=NODE_3_length_187370_cov_27.873886_pilon sw=shovill-spades/1.0.4 date=20260119	72403..73866	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00003 len=187370 cov=27.9 corr=0 origname=NODE_3_length_187370_cov_27.873886_pilon sw=shovill-spades/1.0.4 date=20260119	71066..72283	Erythromycin, Azithromycin	U83667
140Cp-CMPN001x65_260114_LH00793_B23GCKKLT3	tet(M)	99.53	1920/1920	100.0	1..1920	contig00001 len=682832 cov=30.7 corr=0 origname=NODE_1_length_682832_cov_30.727623_pilon sw=shovill-spades/1.0.4 date=20260119	351648..353567	Doxycycline, Tetracycline, Minocycline	X04388
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00009 len=77529 cov=38.8 corr=0 origname=NODE_9_length_77529_cov_38.828043_pilon sw=shovill-spades/1.0.4 date=20260119	38483..39220	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	tetA(46)	95.07	1725/1725	100.0	1..1725	contig00004 len=125885 cov=44.0 corr=0 origname=NODE_4_length_125885_cov_44.013816_pilon sw=shovill-spades/1.0.4 date=20260119	105468..107192	Doxycycline, Tetracycline, Tigecycline	HQ652506
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	tetB(46)	92.27	1721/1737	99.07887161773172	1..1721	contig00004 len=125885 cov=44.0 corr=0 origname=NODE_4_length_125885_cov_44.013816_pilon sw=shovill-spades/1.0.4 date=20260119	107194..108914	Doxycycline, Tetracycline, Tigecycline	HQ652506
141Ap-CMPN001x66_260114_LH00793_B23GCKKLT3	tet(M)	99.69	1920/1920	100.0	1..1920	contig00009 len=77529 cov=38.8 corr=0 origname=NODE_9_length_77529_cov_38.828043_pilon sw=shovill-spades/1.0.4 date=20260119	35457..37376	Doxycycline, Tetracycline, Minocycline	X75073
145Cm-CMPN001x68_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00009 len=110548 cov=35.2 corr=0 origname=NODE_9_length_110548_cov_35.182442_pilon sw=shovill-spades/1.0.4 date=20260119	16135..16872	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
145Cm-CMPN001x68_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	100.0	1..1920	contig00009 len=110548 cov=35.2 corr=0 origname=NODE_9_length_110548_cov_35.182442_pilon sw=shovill-spades/1.0.4 date=20260119	26787..28706	Doxycycline, Tetracycline, Minocycline	FR671418
145Csv-CMPN001x67_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00010 len=110547 cov=33.9 corr=0 origname=NODE_10_length_110547_cov_33.925826_pilon sw=shovill-spades/1.0.4 date=20260119	16135..16872	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
145Csv-CMPN001x67_260114_LH00793_B23GCKKLT3	tet(M)	99.74	1920/1920	100.0	1..1920	contig00010 len=110547 cov=33.9 corr=0 origname=NODE_10_length_110547_cov_33.925826_pilon sw=shovill-spades/1.0.4 date=20260119	26787..28706	Doxycycline, Tetracycline, Minocycline	FR671418
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=677157 cov=36.8 corr=0 origname=NODE_1_length_677157_cov_36.788024_pilon sw=shovill-spades/1.0.4 date=20260119	17170..18633	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=677157 cov=36.8 corr=0 origname=NODE_1_length_677157_cov_36.788024_pilon sw=shovill-spades/1.0.4 date=20260119	18753..19970	Erythromycin, Azithromycin	U83667
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetA(46)	99.54	1725/1725	100.0	1..1725	contig00001 len=677157 cov=36.8 corr=0 origname=NODE_1_length_677157_cov_36.788024_pilon sw=shovill-spades/1.0.4 date=20260119	321571..323295	Doxycycline, Tetracycline, Tigecycline	HQ652506
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tetB(46)	94.83	1741/1737	99.76971790443294	1..1737	contig00001 len=677157 cov=36.8 corr=0 origname=NODE_1_length_677157_cov_36.788024_pilon sw=shovill-spades/1.0.4 date=20260119	319833..321569	Doxycycline, Tetracycline, Tigecycline	HQ652506
146Pp-CMPN001x69_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00005 len=121120 cov=37.2 corr=0 origname=NODE_5_length_121120_cov_37.196052_pilon sw=shovill-spades/1.0.4 date=20260119	39964..41883	Doxycycline, Tetracycline, Minocycline	X75073
148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00012 len=28902 cov=18.1 corr=0 origname=NODE_12_length_28902_cov_18.106462_pilon sw=shovill-spades/1.0.4 date=20260119	9571..10308	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
148Cm-CMPN001x70_260114_LH00793_B23GCKKLT3	tet(M)	99.95	1920/1920	100.0	1..1920	contig00012 len=28902 cov=18.1 corr=0 origname=NODE_12_length_28902_cov_18.106462_pilon sw=shovill-spades/1.0.4 date=20260119	20223..22142	Doxycycline, Tetracycline, Minocycline	AM990992
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00002 len=322114 cov=34.7 corr=0 origname=NODE_2_length_322114_cov_34.668070_pilon sw=shovill-spades/1.0.4 date=20260119	257333..258796	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00002 len=322114 cov=34.7 corr=0 origname=NODE_2_length_322114_cov_34.668070_pilon sw=shovill-spades/1.0.4 date=20260119	258916..260133	Erythromycin, Azithromycin	U83667
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetA(46)	94.26	1725/1725	100.0	1..1725	contig00001 len=432966 cov=36.5 corr=0 origname=NODE_1_length_432966_cov_36.545890_pilon sw=shovill-spades/1.0.4 date=20260119	147976..149700	Doxycycline, Tetracycline, Tigecycline	HQ652506
149Ap-CMPN001x71_260114_LH00793_B23GCKKLT3	tetB(46)	92.45	1722/1737	99.02130109383995	1..1721	contig00001 len=432966 cov=36.5 corr=0 origname=NODE_1_length_432966_cov_36.545890_pilon sw=shovill-spades/1.0.4 date=20260119	146254..147974	Doxycycline, Tetracycline, Tigecycline	HQ652506
149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00005 len=164866 cov=33.6 corr=1 origname=NODE_5_length_164866_cov_33.639102_pilon sw=shovill-spades/1.0.4 date=20260119	82486..83223	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
149Cc-CMPN001x73_260114_LH00793_B23GCKKLT3	tet(M)	98.28	1920/1920	100.0	1..1920	contig00005 len=164866 cov=33.6 corr=1 origname=NODE_5_length_164866_cov_33.639102_pilon sw=shovill-spades/1.0.4 date=20260119	79458..81377	Doxycycline, Tetracycline, Minocycline	AM990992
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00024 len=27369 cov=17.3 corr=0 origname=NODE_24_length_27369_cov_17.275838_pilon sw=shovill-spades/1.0.4 date=20260119	25624..26361	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00024 len=27369 cov=17.3 corr=0 origname=NODE_24_length_27369_cov_17.275838_pilon sw=shovill-spades/1.0.4 date=20260119	25624..26361	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tetA(46)	94.72	1725/1725	100.0	1..1725	contig00006 len=133431 cov=16.8 corr=0 origname=NODE_6_length_133431_cov_16.829241_pilon sw=shovill-spades/1.0.4 date=20260119	108976..110700	Doxycycline, Tetracycline, Tigecycline	HQ652506
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tetB(46)	91.87	1723/1737	98.96373056994818	1..1721	contig00006 len=133431 cov=16.8 corr=0 origname=NODE_6_length_133431_cov_16.829241_pilon sw=shovill-spades/1.0.4 date=20260119	110702..112422	Doxycycline, Tetracycline, Tigecycline	HQ652506
150Cp-CMPN001x74_260114_LH00793_B23GCKKLT3	tet(M)	99.27	1920/1920	100.0	1..1920	contig00011 len=84105 cov=17.1 corr=0 origname=NODE_11_length_84105_cov_17.071463_pilon sw=shovill-spades/1.0.4 date=20260119	81881..83800	Doxycycline, Tetracycline, Minocycline	X04388
151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00004 len=174256 cov=38.2 corr=0 origname=NODE_4_length_174256_cov_38.193897_pilon sw=shovill-spades/1.0.4 date=20260119	35566..36303	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
151Cm-CMPN001x75_260114_LH00793_B23GCKKLT3	tet(M)	99.84	1920/1920	100.0	1..1920	contig00004 len=174256 cov=38.2 corr=0 origname=NODE_4_length_174256_cov_38.193897_pilon sw=shovill-spades/1.0.4 date=20260119	32540..34459	Doxycycline, Tetracycline, Minocycline	X92947
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=257575 cov=27.5 corr=0 origname=NODE_1_length_257575_cov_27.491056_pilon sw=shovill-spades/1.0.4 date=20260119	174385..175848	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00001 len=257575 cov=27.5 corr=0 origname=NODE_1_length_257575_cov_27.491056_pilon sw=shovill-spades/1.0.4 date=20260119	173048..174265	Erythromycin, Azithromycin	U83667
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00007 len=137549 cov=23.0 corr=0 origname=NODE_7_length_137549_cov_22.984264_pilon sw=shovill-spades/1.0.4 date=20260119	65727..66464	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
155Cvs-CMPN001x76_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00007 len=137549 cov=23.0 corr=0 origname=NODE_7_length_137549_cov_22.984264_pilon sw=shovill-spades/1.0.4 date=20260119	62701..64620	Doxycycline, Tetracycline, Minocycline	X75073
160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00001 len=559752 cov=35.5 corr=0 origname=NODE_1_length_559752_cov_35.461501_pilon sw=shovill-spades/1.0.4 date=20260119	512314..513777	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00001 len=559752 cov=35.5 corr=0 origname=NODE_1_length_559752_cov_35.461501_pilon sw=shovill-spades/1.0.4 date=20260119	510977..512194	Erythromycin, Azithromycin	U83667
160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	tetA(46)	94.20	1725/1725	100.0	1..1725	contig00003 len=120671 cov=36.9 corr=0 origname=NODE_3_length_120671_cov_36.935686_pilon sw=shovill-spades/1.0.4 date=20260119	12038..13762	Doxycycline, Tetracycline, Tigecycline	HQ652506
160Ap-CMPN001x77_260114_LH00793_B23GCKKLT3	tetB(46)	91.17	1722/1737	99.02130109383995	1..1721	contig00003 len=120671 cov=36.9 corr=0 origname=NODE_3_length_120671_cov_36.935686_pilon sw=shovill-spades/1.0.4 date=20260119	10316..12036	Doxycycline, Tetracycline, Tigecycline	HQ652506
55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00007 len=96613 cov=31.6 corr=0 origname=NODE_7_length_96613_cov_31.559206_pilon sw=shovill-spades/1.0.4 date=20260119	15164..15901	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
55Csv-CMPN001x05_260114_LH00793_B23GCKKLT3	tet(M)	99.84	1920/1920	100.0	1..1920	contig00007 len=96613 cov=31.6 corr=0 origname=NODE_7_length_96613_cov_31.559206_pilon sw=shovill-spades/1.0.4 date=20260119	17008..18927	Doxycycline, Tetracycline, Minocycline	X92947
91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00004 len=193267 cov=29.1 corr=0 origname=NODE_4_length_193267_cov_29.149883_pilon sw=shovill-spades/1.0.4 date=20260119	126353..127816	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00004 len=193267 cov=29.1 corr=0 origname=NODE_4_length_193267_cov_29.149883_pilon sw=shovill-spades/1.0.4 date=20260119	125016..126233	Erythromycin, Azithromycin	U83667
91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00005 len=188639 cov=26.2 corr=0 origname=NODE_5_length_188639_cov_26.231059_pilon sw=shovill-spades/1.0.4 date=20260119	59497..60234	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
91Csv-CMPN001x13_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00005 len=188639 cov=26.2 corr=0 origname=NODE_5_length_188639_cov_26.231059_pilon sw=shovill-spades/1.0.4 date=20260119	56471..58390	Doxycycline, Tetracycline, Minocycline	X75073
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	msr(D)	99.93	1464/1464	100.0	1..1464	contig00004 len=202666 cov=30.4 corr=0 origname=NODE_4_length_202666_cov_30.429200_pilon sw=shovill-spades/1.0.4 date=20260119	126361..127824	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	mef(A)	100.00	1218/1218	100.0	1..1218	contig00004 len=202666 cov=30.4 corr=0 origname=NODE_4_length_202666_cov_30.429200_pilon sw=shovill-spades/1.0.4 date=20260119	125024..126241	Erythromycin, Azithromycin	U83667
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	lsa(C)	94.52	1479/1479	100.0	1..1479	contig00005 len=199537 cov=25.6 corr=0 origname=NODE_5_length_199537_cov_25.610513_pilon sw=shovill-spades/1.0.4 date=20260119	150526..152004	Lincomycin, Clindamycin, Dalfopristin, Pristinamycin IIA, Virginiamycin M, Tiamulin	HM990671
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	erm(B)	100.00	738/738	100.0	1..738	contig00005 len=199537 cov=25.6 corr=0 origname=NODE_5_length_199537_cov_25.610513_pilon sw=shovill-spades/1.0.4 date=20260119	133511..134248	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	U86375
97Csv-CMPN001x17_260114_LH00793_B23GCKKLT3	tet(M)	99.90	1920/1920	100.0	1..1920	contig00005 len=199537 cov=25.6 corr=0 origname=NODE_5_length_199537_cov_25.610513_pilon sw=shovill-spades/1.0.4 date=20260119	135355..137274	Doxycycline, Tetracycline, Minocycline	X75073
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	msr(D)	100.00	1464/1464	100.0	1..1464	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	628424..629887	Erythromycin, Azithromycin, Telithromycin, Quinupristin, Pristinamycin IA, Virginiamycin S	AF274302
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	mef(A)	99.92	1218/1218	100.0	1..1218	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	630007..631224	Erythromycin, Azithromycin	U83667
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	833771..834508	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	X72021
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	erm(B)	99.86	738/738	100.0	1..738	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	833771..834508	Erythromycin, Lincomycin, Clindamycin, Quinupristin, Pristinamycin IA, Virginiamycin S	JN899585
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tet(M)	99.64	1920/1920	100.0	1..1920	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	835615..837534	Doxycycline, Tetracycline, Minocycline	FR671418
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetA(46)	91.88	1725/1725	100.0	1..1725	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	900577..902301	Doxycycline, Tetracycline, Tigecycline	HQ652506
98Cap-CMPN001x19_260114_LH00793_B23GCKKLT3	tetB(46)	90.56	1738/1737	99.94242947610823	1..1737	contig00001 len=1148066 cov=30.2 corr=0 origname=NODE_1_length_1148066_cov_30.243566_pilon sw=shovill-spades/1.0.4 date=20260119	898839..900575	Doxycycline, Tetracycline, Tigecycline	HQ652506
